zip_code,historical_permits,historical_units,recent_permits,recent_units,permit_growth,unit_growth,total_permits,total_units,activity_score,growth_component,unit_component,growth_score
60643,10.0,29.0,12,15.0,0.2,-0.4827586206896552,22.0,44.0,0.24444444444444444,0.6,0.2586206896551724,0.31756780815880736
60633,0.0,0.0,1,1.0,0.1,0.01,1.0,1.0,0.011111111111111112,0.55,0.505,0.28799685681317355
60623,14.0,16.0,10,10.0,-0.2857142857142857,-0.375,24.0,26.0,0.26666666666666666,0.35714285714285715,0.3125,0.28677398866304565
60651,10.0,11.0,7,9.0,-0.3,-0.18181818181818182,17.0,20.0,0.18888888888888888,0.35,0.40909090909090906,0.28445393589176937
60617,12.0,12.0,8,8.0,-0.3333333333333333,-0.3333333333333333,20.0,20.0,0.2222222222222222,0.33333333333333337,0.33333333333333337,0.2693131131848427
60649,10.0,15.0,7,7.0,-0.3,-0.5333333333333333,17.0,22.0,0.18888888888888888,0.35,0.23333333333333334,0.26680778399095373
60603,15.0,15.0,7,7.0,-0.5333333333333333,-0.5333333333333333,22.0,22.0,0.24444444444444444,0.23333333333333334,0.23333333333333334,0.26097717195891823
60604,6.0,240.0,7,14.0,0.16666666666666666,-0.9416666666666667,13.0,254.0,0.14444444444444443,0.5833333333333334,0.029166666666666674,0.25139362619748146
60620,8.0,15.0,7,7.0,-0.125,-0.5333333333333333,15.0,22.0,0.16666666666666666,0.4375,0.23333333333333334,0.24703958068647083
60631,17.0,20.0,10,11.0,-0.4117647058823529,-0.45,27.0,31.0,0.3,0.29411764705882354,0.275,0.24538033538964688
60629,12.0,15.0,7,7.0,-0.4166666666666667,-0.5333333333333333,19.0,22.0,0.2111111111111111,0.29166666666666663,0.23333333333333334,0.24336788828580558
60615,19.0,24.0,8,8.0,-0.5789473684210527,-0.6666666666666666,27.0,32.0,0.3,0.21052631578947367,0.16666666666666669,0.20134039145755217
60645,12.0,12.0,6,6.0,-0.5,-0.5,18.0,18.0,0.2,0.25,0.25,0.18343885211152183
60656,9.0,24.0,4,5.0,-0.5555555555555556,-0.7916666666666666,13.0,29.0,0.14444444444444443,0.2222222222222222,0.10416666666666669,0.1832077267805559
