year,zip_code,residential_permits,residential_construction_cost,residential_permit_ratio,residential_cost_ratio,total_population,median_household_income,housing_units,housing_density,housing_value_per_unit,housing_units_change,housing_density_change,housing_value_per_unit_change
2006,60031,1,23770.0,0.0714285714285714,0.0403026855457987,0.0,0.0,1.5,0.0,15846.666666666666,0.0,0.0,0.0
2006,60035,6,568500.0,0.1714285714285714,0.031984216879865,0.0,0.0,9.0,0.0,63166.666666666664,0.0,0.0,0.0
2006,60041,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60042,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60046,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60047,2,680000.0,0.0357142857142857,0.022169142802995,0.0,0.0,3.0,0.0,226666.66666666666,0.0,0.0,0.0
2006,60048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60050,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60051,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60053,4,581000.0,0.0519480519480519,0.3627207930162824,0.0,0.0,6.0,0.0,96833.33333333333,0.0,0.0,0.0
2006,60054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60056,15,1458800.0,0.06,0.180565382046543,0.0,0.0,22.5,0.0,64835.555555555555,0.0,0.0,0.0
2006,60057,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60060,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60061,4,103000.0,0.25,0.1703577512776831,0.0,0.0,6.0,0.0,17166.666666666668,0.0,0.0,0.0
2006,60062,16,4486876.0,0.0704845814977973,0.2369449469314728,0.0,0.0,24.0,0.0,186953.16666666666,0.0,0.0,0.0
2006,60063,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60064,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60067,4,1434231.0,0.0341880341880341,0.1341687061578007,0.0,0.0,6.0,0.0,239038.5,0.0,0.0,0.0
2006,60068,24,9752814.0,0.0764331210191082,0.2389739092349124,0.0,0.0,36.0,0.0,270911.5,0.0,0.0,0.0
2006,60069,1,1700000.0,0.037037037037037,0.4016975407261347,0.0,0.0,1.5,0.0,1133333.3333333333,0.0,0.0,0.0
2006,60070,3,505200.0,0.1666666666666666,0.5357938275532931,0.0,0.0,4.5,0.0,112266.66666666667,0.0,0.0,0.0
2006,60071,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60074,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60076,27,2796500.0,0.087378640776699,0.2124410944108278,0.0,0.0,40.5,0.0,69049.38271604938,0.0,0.0,0.0
2006,60077,2,52900.0,0.0273972602739726,0.0100314483059936,0.0,0.0,3.0,0.0,17633.333333333332,0.0,0.0,0.0
2006,60078,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60081,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
