zip_code,year,total_population_x,median_household_income_x,median_home_value_x,labor_force_x,total_housing_units,occupied_housing_units,vacant_housing_units,housing_units,retail_deficit,other_permit_id,other_reported_cost,total_permits_x,total_construction_cost_x,total_population_y,median_household_income_y,median_home_value_y,labor_force_y,commercial_permits,Other_x,residential_permits,retail_permits,commercial_construction_cost,Other_y,residential_construction_cost,retail_construction_cost,total_permits_y,total_construction_cost_y,total_licenses,unique_businesses,active_licenses,residential_permit_ratio,commercial_permit_ratio,retail_permit_ratio,residential_cost_ratio,commercial_cost_ratio,retail_cost_ratio
60606,2023,3527.0,139148.0,366500.0,3244.0,3032.0,2637.0,1932.0,1410.8,147232498.79999998,47.0,49062378.0,47.0,49062378.0,3527.0,139148.0,366500.0,3244.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,203.0,140.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0
60606,2015,3098.0,106661.0,364600.0,2460.0,2283.0,1973.0,1126.0,1239.2,99130733.39999999,43.0,12633608.0,43.0,12633608.0,3098.0,106661.0,364600.0,2460.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60607,2016,28377.0,86476.0,348700.0,18816.0,13668.0,12465.0,6672.0,11350.8,736178835.6,21.0,62416650.0,21.0,62416650.0,28377.0,86476.0,348700.0,18816.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60607,2017,28928.0,92240.0,357300.0,19113.0,14058.0,12663.0,6917.0,11571.2,800495616.0,20.0,96504082.0,20.0,96504082.0,28928.0,92240.0,357300.0,19113.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60607,2018,29591.0,93508.0,376800.0,19221.0,14237.0,12823.0,7319.0,11836.4,830098568.4,12.0,10075976.0,12.0,10075976.0,29591.0,93508.0,376800.0,19221.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60607,2019,29293.0,102726.0,396400.0,19117.0,14527.0,12755.0,7423.0,11717.2,902745815.4,16.0,39739000.0,16.0,39739000.0,29293.0,102726.0,396400.0,19117.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60607,2020,30306.0,103173.0,433300.0,19806.0,15170.0,13532.0,7819.0,12122.4,938028281.4,13.0,5759500.0,13.0,5759500.0,30306.0,103173.0,433300.0,19806.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60607,2021,29990.0,109634.0,439400.0,19415.0,14916.0,13169.0,7131.0,11996.0,986377098.0,15.0,6667452.0,15.0,6667452.0,29990.0,109634.0,439400.0,19415.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60607,2022,28797.0,119500.0,487000.0,19279.0,15260.0,13474.0,7295.0,11518.8,1032372450.0,38.0,12879361.0,38.0,12879361.0,28797.0,119500.0,487000.0,19279.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60607,2023,30197.0,126307.0,494300.0,21156.0,16540.0,15037.0,8783.0,12078.8,1144227743.7,36.0,37610023.0,36.0,37610023.0,30197.0,126307.0,494300.0,21156.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,410.0,298.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0
60607,2015,27557.0,85917.0,341800.0,18327.0,13477.0,12014.0,6085.0,11022.8,710284430.6999999,25.0,6357624.0,25.0,6357624.0,27557.0,85917.0,341800.0,18327.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60608,2016,78072.0,37574.0,226700.0,36496.0,28632.0,25372.0,16846.0,31228.8,880043198.4,7.0,1355000.0,7.0,1355000.0,78072.0,37574.0,226700.0,36496.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60608,2017,78877.0,41226.0,239900.0,36592.0,28550.0,25372.0,16197.0,31550.8,975534960.5999999,5.0,325755.0,5.0,325755.0,78877.0,41226.0,239900.0,36592.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
