permit_,permit_type,reported_cost,issue_date,street_number,street_direction,street_name,contact_1_city,contact_1_state,work_description,contact_1_zipcode,community_area,ward,address,zip_code
100180508,PERMIT - EASY PERMIT PROCESS,2500,2007-05-24T00:00:00.000,2508,S,SPAULDING AVE,CHICAGO,IL,"REMOVE / REPLACE EXISTING ROOF SHINGLES, REPLACE PLYWOOD SHEATING AS NEEDED. ALL WORK SAME AS EXISTING.",,,,"2508 S SPAULDING AVE, CHICAGO, IL",
100180511,PERMIT - RENOVATION/ALTERATION,145000,2007-06-13T00:00:00.000,7740,W,HOOD AVE,CHICAGO,IL,REAR TWO STORY ADDITION AND SECOND FLOOR ADDITION TO EXISTING HOUSE.  PLUS NEW GARAGE,,,,"7740 W HOOD AVE, CHICAGO, IL",
100180512,PERMIT - RENOVATION/ALTERATION,147750,2007-08-02T00:00:00.000,3727,N,JANSSEN AVE,CHICAGO,IL,"ERECT 3 STORY FRAME ADDITION TO EXISTING SINGLE FAMILY RESIDENCE, INTERIOR ALTERATIONS AND REAR OPEN WOOD DECK AS PER PLANS. INCLUDING ELECTRICAL, PLUMBING AND HVAC WORK",,,,"3727 N JANSSEN AVE, CHICAGO, IL",
100180514,PERMIT - EASY PERMIT PROCESS,10000,2007-05-24T00:00:00.000,8913,S,COTTAGE GROVE AVE,CHICAGO,IL,"ERECT A DETACHED FRAME GARAGE, 18' X 22', WITH TWO - ONE SQ. FOOT ROOF VENTS, 36"" SIDE SERVICE DOOR, SEVEN FOOT OVERHEAD DOOR, SIX EAVES. ALL WORK SAME AS EXISTING.",,,,"8913 S COTTAGE GROVE AVE, CHICAGO, IL",
100180606,PERMIT - RENOVATION/ALTERATION,5000,2007-05-25T00:00:00.000,1708,N,KEDVALE AVE,CHICAGO,IL,REPLACE INTERIOR STAIR WITHIN REAR PORCH AND REPAIS HANDRAILS FOR EXTERIOR OPEN PORCHES AS PER PLANS,,,,"1708 N KEDVALE AVE, CHICAGO, IL",
100180645,PERMIT - EASY PERMIT PROCESS,0,2007-05-25T00:00:00.000,709,W,50TH PL,CHICAGO,IL,REPLACE 2 FURNACES,,,,"709 W 50TH PL, CHICAGO, IL",
100180662,PERMIT - RENOVATION/ALTERATION,40000,2007-06-26T00:00:00.000,1555,N,ASTOR ST,CHICAGO,60610,INTERIOR REMODEL OF CONDO UNIT #21 @ 1555 N. ASTOR FOR BATHROOM REMODEL AND ALTERATIONS (NO HVAC WORK WITHIN PERMIT SCOPE) AS PER ARCHITECT'S PLANS - INCLUDING ELECTRICAL AND PLUMBING WORK,,,,"1555 N ASTOR ST, CHICAGO, IL",
100180668,PERMIT - RENOVATION/ALTERATION,1500,2007-06-27T00:00:00.000,5624,N,SPAULDING AVE,CHICAGO,IL,REPAIRS TO EXISTING THREE STORY OPEN PORCH AND GARAGE ROOFTOP DECK TO ADDRESS VIOLATIONS. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,,,,"5624 N SPAULDING AVE, CHICAGO, IL",
100180699,PERMIT - RENOVATION/ALTERATION,60000,2007-07-10T00:00:00.000,7130,N,MELVINA AVE,CHICAGO,IL,ALTERATIONS FOR SECOND FLOOR ADDITION TO EXISTING SFR AS PER HOMEOWNER PLANS; SCOPE INCLUDES ELECTRICAL; PLUMBING AND HVAC WORK,,,,"7130 N MELVINA AVE, CHICAGO, IL",
100180813,PERMIT - EASY PERMIT PROCESS,8500,2007-05-29T00:00:00.000,903,W,18TH ST,,,REMOVE OLD DRY WALL THRU OUT BUILDING AND REPLACE WITH NEW. REPLACE WINDOWS AND SIDING TUCKPOINT BUILDING ALL WORK SAME AS EXISTING,,,,"903 W 18TH ST, CHICAGO, IL",
100180829,PERMIT - EASY PERMIT PROCESS,1800,2007-05-29T00:00:00.000,5620,S,TROY ST,,,ERECT 6 FT IRON FENCE 125 LINEAL FEET,,,,"5620 S TROY ST, CHICAGO, IL",
100180862,PERMIT - WRECKING/DEMOLITION,12000,2007-06-25T00:00:00.000,7903,S,WESTERN AVE,CHICAGO,IL,WRECK AND REMOVE A ONE STORY COMMERCIAL MASONRY BUILDING.,,,,"7903 S WESTERN AVE, CHICAGO, IL",
100180872,PERMIT - SCAFFOLDING,10,2007-05-30T00:00:00.000,1524,S,WESTERN AVE,PALATINE,IL,ERECT (2) WERNER SWING STAGES FOR TUCKPOINTING AND LINTEL REPLACEMENT FROM 5/29/07 - 5/29/08.,,,,"1524 S WESTERN AVE, CHICAGO, IL",
100180905,PERMIT - EASY PERMIT PROCESS,279960,2007-05-30T00:00:00.000,2740,N,PINE GROVE AVE,CHICAGO,IL,"MASONRY REPAIRS TO INCLUDE: 2200 SQ. FEET OF TUCKPOINTING AND GRINDING, 500 LINEAR FEET OF CAULKING, 220 MISC. BRICK REPLACEMENT, 1400 SQ. FEET ROUTING AND SEALING BRICK ONLY. NO STRUCTUAL WORK. ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"2740 N PINE GROVE AVE, CHICAGO, IL",
100181007,PERMIT - RENOVATION/ALTERATION,9000,2007-08-06T00:00:00.000,9745,S,PRAIRIE AVE,CHICAGO,IL,ERECT NEW ONE STORY REAR OPEN WOOD DECK (12'X20') AND MASONRY INFILL OF ATTACHED ONE CAR MASONRY GARAGE DOOR (7'X9') ON FRONT ELEVATION. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS.,,,,"9745 S PRAIRIE AVE, CHICAGO, IL",
100181008,PERMIT - EASY PERMIT PROCESS,14794,2007-05-29T00:00:00.000,5146,N,NAGLE AVE,CHICAGO,IL,"ERECT A DETACHED FRAME GARAGE, 24' X 24', WITH TWO - ONE SQ. FOOT ROOF VENTS, ALLEY ACCESS, ONE OVERHEAD DOOR, 16' X 7'.",,,,"5146 N NAGLE AVE, CHICAGO, IL",
100181013,PERMIT - EASY PERMIT PROCESS,1500,2007-05-29T00:00:00.000,3908,W,61ST PL,CHICAGO,IL,REPAIRS TO GARAGES REPLACE SHINGLES AND ANY DAMAGED WOOD,,,,"3908 W 61ST PL, CHICAGO, IL",
100181054,PERMIT - PORCH CONSTRUCTION,30000,2007-06-28T00:00:00.000,814,W,72ND ST,FRANKFORT,ILLINOIS,REPLACE ALL DEFECTIVE WOOD MEMBERS. REPLACE EXTERIOR STAIR W/. NEW LANDING. 2 LOCATIONS.,,,,"814 W 72ND ST, CHICAGO, IL",
