total_population,median_household_income,median_home_value,labor_force,state,zip code tabulation area,year,zip_code,total_population_change,median_household_income_change,median_home_value_change,labor_force_change,total_permits,residential_permits,commercial_permits,retail_permits,total_construction_cost,residential_construction_cost,commercial_construction_cost,retail_construction_cost,residential_permit_ratio,commercial_permit_ratio,retail_permit_ratio,residential_cost_ratio,commercial_cost_ratio,retail_cost_ratio,new_construction_permits,renovation_permits,addition_permits,other_permits,total_permits_change,residential_permits_change,commercial_permits_change,retail_permits_change,total_construction_cost_change,residential_construction_cost_change,commercial_construction_cost_change,retail_construction_cost_change,unemployment_rate,gdp,per_capita_income,personal_income,unemployment_rate_change,gdp_change,per_capita_income_change,personal_income_change,estimated_retail_value,retail_sales,per_capita_retail,income_factor,retail_potential,retail_gap,projected_population,projected_income,projected_retail_demand,leakage_surplus_factor,market_status,opportunity_score,is_high_opportunity,market_saturation
1197.0,140114.0,678900.0,747.0,17.0,60603,2017,60603,0.1632653061224489,-0.0027473309608541,0.1067818715357027,0.1635514018691588,16.0,2.0,6.0,1.0,54194482.0,23100000.0,9770830.0,50000.0,0.125,0.375,0.0625,0.4262426569553705,0.180291971422478,0.000922603153583,1.0,13.0,0.0,2.0,0.2307692307692308,inf,-0.25,inf,13.893892744808936,inf,2.741104623336843,inf,4.916666666666667,674568.186,57233.0,56973.0,-0.1619318181818182,0.0313838565472428,0.0356664615830046,0.0351951449960026,16258344.6,29083289.2970197,24296.816455321386,2.0247347046101156,58885945.16389172,29802655.866872016,1196.1085953670427,146622.88451962578,30411665.97482852,0.5061081346987822,Leakage,75.30540673493911,False,0.4938918653012177
1174.0,151765.0,676900.0,819.0,17.0,60603,2018,60603,-0.0192147034252297,0.0831537176870262,-0.0029459419649432,0.0963855421686747,11.0,1.0,4.0,2.0,8786652.0,500000.0,4230630.0,50001.0,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.0569044955917225,0.4814837323704182,0.0056905633681634,1.0,8.0,0.0,2.0,-0.3125,-0.5,-0.3333333333333333,1.0,-0.8378681431072632,-0.9783549783549784,-0.5670142659323723,1.999999999990898e-05,4.133333333333334,707911.107,61322.0,60423.0,-0.159322033898305,0.0494285406457042,0.0714447958345709,0.0605549997367174,2635995.6,30896377.621988762,26317.187071540684,2.19309892262839,67758812.47590345,36862434.85391469,1173.1257234426967,158815.1224654282,32307566.949395064,0.5440242162895609,Leakage,77.20121081447803,False,0.45597578371043923
1052.0,146250.0,672700.0,695.0,17.0,60603,2019,60603,-0.1039182282793866,-0.0363390768622541,-0.0062047569803516,-0.1514041514041514,13.0,1.0,4.0,0.0,4673945.0,200000.0,1405071.0,0.0,0.0769230769230769,0.3076923076923077,0.0,0.0427904051074627,0.300617786473739,0.0,0.0,6.0,0.0,7.0,0.1818181818181818,0.0,0.0,-1.0,-0.4680630347030928,-0.6,-0.6678813793690301,-1.0,3.866666666666666,728631.746,63007.0,62232.0,-0.0645161290322582,0.0292701142772153,0.0274779035256513,0.029938930539695,1402183.5,26679608.71671262,25360.84478774964,2.11340373231247,56384784.638536766,29705175.921824146,1051.216576713558,153043.9275232687,27898197.495664038,0.5268296422918646,Leakage,76.34148211459323,False,0.4731703577081354
1186.0,140125.0,499400.0,774.0,,60603,2020,60603,0.1273764258555132,-0.0418803418803418,-0.2576185521034636,0.1136690647482014,6.0,1.0,1.0,2.0,27073652.0,26000000.0,988650.0,26988650.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.9603432887443482,0.0365170535545038,0.996860342298852,2.0,1.0,0.0,3.0,-0.5384615384615384,0.0,-0.75,inf,4.792462684092346,129.0,-0.296370076672282,inf,9.841666666666669,700007.944,67184.0,65871.0,1.545258620689656,-0.0392843190776922,0.066294221277001,0.0584747396837639,8122095.6,28818286.590069976,24298.7239376644,2.024893661472033,58353965.850717194,29535679.26064722,1185.1167870553988,146634.39551588395,30134559.2925728,0.5061469058710808,Leakage,75.30734529355404,False,0.4938530941289192
1275.0,114394.0,562500.0,824.0,,60603,2021,60603,0.0750421585160201,-0.183628902765388,0.1263516219463356,0.0645994832041343,15.0,0.0,4.0,2.0,14892952.0,0.0,2611950.0,12055000.0,0.0,0.2666666666666666,0.1333333333333333,0.0,0.1753816167540189,0.8094432856561949,3.0,9.0,0.0,3.0,1.5,-1.0,3.0,0.0,-0.4499097498926262,-1.0,1.64193597329692,-0.5533307520013042,6.241666666666667,770533.358,72316.0,71206.0,-0.3657917019475022,0.1007494480662636,0.0763872350559657,0.0809916351657027,4467885.6,25291889.301049817,19836.775922392015,1.6530646601993346,41809128.39323911,16517239.092189293,1274.0505088496068,119708.08235963625,26447094.117881864,0.3950629856914279,Leakage,69.75314928457139,False,0.6049370143085722
1110.0,124888.0,757500.0,748.0,,60603,2022,60603,-0.1294117647058823,0.0917355805374406,0.3466666666666667,-0.0922330097087378,5.0,1.0,1.0,2.0,6500000.0,500000.0,1200000.0,3100000.0,0.2,0.2,0.4,0.0769230769230769,0.1846153846153846,0.4769230769230769,0.0,4.0,0.0,1.0,-0.6666666666666667,inf,-0.75,0.0,-0.5635519405420766,inf,-0.5405731350140699,-0.7428452924097885,4.616666666666666,845186.849,73674.0,73317.0,-0.2603471295060081,0.0968854757875388,0.0187786935118092,0.0296463781142037,1950000.0,24038730.62616239,21656.514077623775,1.804709506468648,43382925.684474304,19344195.058311913,1109.1733841749517,130689.57278992124,25136697.53086168,0.4458942026870892,Leakage,72.29471013435446,False,0.5541057973129108
1126.0,128107.0,608100.0,772.0,,60603,2023,60603,0.0144144144144144,0.0257750944846582,-0.1972277227722771,0.0320855614973261,8.0,1.0,4.0,0.0,1572924.0,25000.0,1186375.0,0.0,0.125,0.5,0.0,0.0158939656334317,0.7542481391345036,0.0,0.0,7.0,0.0,1.0,0.6000000000000001,0.0,3.0,-1.0,-0.7580116923076923,-0.95,-0.0113541666666666,-1.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,471877.19999999995,25013766.5837299,22214.71277418286,1.8512260645152383,46306136.67150108,21292370.087771177,1125.1614689918881,134058.10887674108,26156268.169937532,0.45981745872735436,Leakage,72.99087293636772,False,0.5401825412726456
545.0,151731.0,572000.0,387.0,17.0,60604,2015,60604,,,,,5.0,0.0,0.0,1.0,525003.0,0.0,0.0,500000.0,0.0,0.0,0.2,0.0,0.0,0.9523755102351796,0.0,1.0,0.0,4.0,0.25,0.0,0.0,inf,2.49995000099998,0.0,0.0,inf,6.008333333333333,640542.188,54741.0,54367.0,,,,,157500.9,14339653.713279126,26311.29121702592,2.1926076014188265,31441233.73344951,17101580.020170383,544.5941390768908,158779.54302244843,14994616.134002514,0.5439220408827805,Leakage,77.19610204413902,False,0.45607795911721943
619.0,150125.0,460400.0,432.0,17.0,60604,2016,60604,0.1357798165137613,-0.0105845212909688,-0.1951048951048951,0.1162790697674418,4.0,1.0,1.0,1.0,1804801.0,300000.0,1500000.0,1500000.0,0.25,0.25,0.25,0.1662233121546364,0.8311165607731822,0.8311165607731822,0.0,2.0,0.0,2.0,-0.1999999999999999,inf,inf,0.0,2.437696546495925,inf,inf,2.0,5.866666666666667,654041.831,55262.0,55036.0,-0.0235783633841885,0.0210753378199033,0.0095175462633125,0.0123052587047289,541440.2999999999,16114302.45407184,26032.79879494643,2.169399899578869,34958366.12564697,18844063.67157513,618.5390313552209,157098.937568757,16850321.799770128,0.5390430320412002,Leakage,76.95215160206001,False,0.4609569679587997
668.0,114565.0,506800.0,482.0,17.0,60604,2017,60604,0.0791599353796446,-0.2368692756036636,0.1007819287576021,0.1157407407407407,5.0,0.0,1.0,1.0,1125002.0,0.0,125000.0,125000.0,0.0,0.2,0.2,0.0,0.111110913580598,0.111110913580598,0.0,2.0,0.0,3.0,0.25,-1.0,0.0,0.0,-0.3766614712646989,-1.0,-0.9166666666666666,-0.9166666666666666,4.916666666666667,674568.186,57233.0,56973.0,-0.1619318181818182,0.0313838565472428,0.0356664615830046,0.0351951449960026,337500.6,13270774.306437628,19866.42860245154,1.6555357168709617,21970240.854840957,8699466.548403328,667.5025411070881,119887.02602874037,13876915.75437016,0.3959659161627477,Leakage,69.7982958081374,False,0.6040340838372523
