zip_code,total_population,median_household_income,median_home_value,labor_force,state,zip code tabulation area,year,total_population_change,median_household_income_change,median_home_value_change,labor_force_change,total_permits,residential_permits,commercial_permits,retail_permits,total_construction_cost,residential_construction_cost,commercial_construction_cost,retail_construction_cost,residential_permit_ratio,commercial_permit_ratio,retail_permit_ratio,residential_cost_ratio,commercial_cost_ratio,retail_cost_ratio,new_construction_permits,renovation_permits,addition_permits,other_permits,total_permits_change,residential_permits_change,commercial_permits_change,retail_permits_change,total_construction_cost_change,residential_construction_cost_change,commercial_construction_cost_change,retail_construction_cost_change,unemployment_rate,gdp,per_capita_income,personal_income,unemployment_rate_change,gdp_change,per_capita_income_change,personal_income_change,housing_density,retail_density,balance_score
60622,53696.0,124852.0,622900.0,39306.0,17.0,60622,2023,-0.0045973602254189,0.0479963738311481,0.0103811841038119,0.0199283823758369,51.0,13.0,5.0,8.0,9240969.0,1422558.0,406001.0,5585101.0,0.2549019607843137,0.0980392156862745,0.1568627450980392,0.1539403497620217,0.0439348947063884,0.6043847782629722,4.0,43.0,0.0,4.0,0.8888888888888888,0.3,inf,3.0,0.5728072107350877,-0.1325865853658536,inf,4.903912262156449,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.242103694874851,0.09311680572109654,-118.77394636015326
60623,77061.0,44040.0,221400.0,34376.0,17.0,60623,2023,0.0058738301288325,0.1646480139630823,0.0884955752212388,0.0333052783455571,34.0,0.0,0.0,0.0,1321101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,25.0,0.0625,-1.0,0.0,0.0,-0.721257364435623,-1.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,-69.73180076628353
60624,35711.0,32607.0,223200.0,15210.0,17.0,60624,2023,0.0013178555406012,0.0264102241249055,-0.0022351363433169,0.0125149780322193,21.0,2.0,1.0,1.0,2016086.0,230000.0,250000.0,250000.0,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.1140824349754921,0.1240026467124914,0.1240026467124914,0.0,13.0,0.0,8.0,1.1,0.0,inf,inf,3.0409732397161013,-0.1785714285714286,inf,inf,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.05600515247402761,0.028002576237013806,-84.67432950191571
60625,78467.0,85299.0,396700.0,48199.0,17.0,60625,2023,-0.0227782205838398,0.0212146970440696,0.0043037974683544,-0.027029754935605,27.0,5.0,1.0,2.0,4021888.0,815000.0,623000.0,120000.0,0.1851851851851851,0.037037037037037,0.074074074074074,0.2026411476401133,0.154902374208332,0.0298367333948633,0.0,23.0,0.0,4.0,1.7000000000000002,1.5,0.0,inf,1.0912740175626152,2.2357191633978624,1.686780865635081,inf,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.06372105471089758,0.012744210942179514,-111.87739463601534
60626,50027.0,57452.0,269000.0,30108.0,17.0,60626,2023,-0.0021541837039992,0.0232790097070085,0.0018621973929235,0.0217878232539197,6.0,1.0,0.0,0.0,23000.0,3000.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.1304347826086956,0.0,0.0,0.0,0.0,0.0,6.0,-0.5384615384615384,inf,0.0,0.0,-0.9872456052792103,inf,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.01998920582885242,0.0,-122.41379310344828
60628,59212.0,49719.0,158500.0,27013.0,17.0,60628,2023,-0.0359335059183639,0.0230036419003725,0.050364479787939,-0.0487375426981723,21.0,5.0,0.0,4.0,910756.0,318256.0,0.0,215850.0,0.238095238095238,0.0,0.1904761904761904,0.3494415628335141,0.0,0.2370009091348286,0.0,12.0,0.0,9.0,1.3333333333333337,0.6666666666666667,0.0,inf,0.5576386644159514,-0.0207507692307692,0.0,inf,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.08444234276835777,0.0,-194.82758620689654
60629,109292.0,58813.0,236300.0,51137.0,17.0,60629,2023,0.0027064965090781,0.1030608800030008,0.0525612472160357,-0.0048844088113956,12.0,3.0,0.0,1.0,7673400.0,48000.0,0.0,8000.0,0.25,0.0,0.0833333333333333,0.0062553757135037,0.0,0.0010425626189172,2.0,8.0,0.0,2.0,1.0,inf,-1.0,inf,9.04371727748691,inf,-1.0,inf,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.027449401603045053,0.0,-137.73946360153258
60630,54242.0,97134.0,362900.0,30621.0,17.0,60630,2023,-0.0190433131386201,0.0658254238218027,0.0136871508379887,-0.0078411042348442,14.0,3.0,0.0,1.0,1050482.0,212482.0,0.0,500000.0,0.2142857142857142,0.0,0.0714285714285714,0.2022709575223564,0.0,0.4759719823852288,1.0,9.0,0.0,4.0,-0.125,0.5,0.0,0.0,0.0795410869793089,105.241,0.0,-0.3827160493827161,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.05530769514398436,0.0,-173.37164750957857
60631,30308.0,117688.0,431400.0,15936.0,17.0,60631,2023,-0.0036162798343086,0.0417264149273284,0.0589101620029455,0.0073961691636639,16.0,4.0,1.0,2.0,2006862.0,425000.0,224000.0,224000.0,0.25,0.0625,0.125,0.211773405445915,0.1116170419291411,0.1116170419291411,4.0,7.0,0.0,5.0,-0.0588235294117647,0.3333333333333332,0.0,0.0,0.9433513350202049,0.4655172413793103,43.8,-0.116370808678501,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.13197835554968987,0.03299458888742247,-118.77394636015326
60632,87831.0,60576.0,240600.0,42677.0,17.0,60632,2023,0.016892048349002,0.1224845272949635,0.0636604774535809,0.0333664253371752,20.0,5.0,0.0,0.0,1126701.0,758600.0,0.0,0.0,0.25,0.0,0.0,0.6732930919560736,0.0,0.0,1.0,9.0,0.0,10.0,-0.1999999999999999,-0.375,-1.0,0.0,-0.664372654155496,-0.631747572815534,-1.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.05692750851066253,0.0,-175.67049808429118
60633,12485.0,56875.0,182100.0,5836.0,17.0,60633,2023,0.0036173633440514,0.034918844166242,0.0756054341405789,-0.0686243217363549,1.0,1.0,0.0,0.0,19367.0,19367.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,0.0,0.0,-1.0,-0.7172700729927007,4.533428571428572,0.0,-1.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.08009611533840609,0.0,-191.7624521072797
60634,74418.0,84997.0,333900.0,40780.0,17.0,60634,2023,-0.0191767822545569,0.0268934771840378,0.0395392278953923,-0.0280756947423613,22.0,4.0,0.0,1.0,1139002.0,906800.0,0.0,850000.0,0.1818181818181818,0.0,0.0454545454545454,0.7961355642922489,0.0,0.7462673463259941,0.0,7.0,0.0,15.0,1.2000000000000002,1.0,-1.0,inf,0.1717524818682165,0.9799126637554584,-1.0,inf,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.05375043672229837,0.0,-172.98850574712645
60636,31007.0,35077.0,150600.0,12594.0,17.0,60636,2023,0.0393523949988268,0.1519161932284654,0.1531393568147014,0.0335658596635206,14.0,4.0,0.0,1.0,864800.0,775000.0,0.0,20000.0,0.2857142857142857,0.0,0.0714285714285714,0.8961609620721555,0.0,0.0231267345050878,0.0,10.0,0.0,4.0,2.5,3.0,0.0,0.0,13.413333333333334,76.5,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.12900312832586192,0.0,-210.91954022988506
60637,52418.0,42080.0,243700.0,24076.0,17.0,60637,2023,0.0248900185746407,0.1297554165436143,0.0128844555278471,0.009814612868048,13.0,4.0,2.0,0.0,4193280.0,1495000.0,1883280.0,0.0,0.3076923076923077,0.1538461538461538,0.0,0.3565228174603174,0.4491185897435897,0.0,0.0,13.0,0.0,0.0,-0.1875,0.0,-0.3333333333333333,-1.0,-0.3855025807754431,0.8659720341341828,0.1716049659208827,-1.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.076309664619024,0.038154832309512,-95.78544061302682
60638,58250.0,89191.0,283500.0,29420.0,17.0,60638,2023,0.0078029031644146,0.0447091620399653,0.0342940532652316,-0.0217138296811093,3.0,0.0,0.0,0.0,35500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-0.4,-1.0,0.0,0.0,-0.7746031746031746,-1.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,-69.73180076628353
60639,84505.0,59710.0,289000.0,41027.0,17.0,60639,2023,-0.0087157469969969,0.0862486128545179,0.0343593414459555,-0.0118499963871961,13.0,2.0,0.0,1.0,1208143.0,55000.0,0.0,18000.0,0.1538461538461538,0.0,0.0769230769230769,0.0455244122591448,0.0,0.0148988985575383,0.0,4.0,0.0,9.0,0.0833333333333332,1.0,-1.0,0.0,-0.5116838446303706,14.27777777777778,-1.0,-0.9905263157894736,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.023667238624933435,0.0,-130.84291187739464
