zip_code,total_population,median_household_income,median_home_value,labor_force,state,zip code tabulation area,year,total_population_change,median_household_income_change,median_home_value_change,labor_force_change,total_permits,residential_permits,commercial_permits,total_construction_cost,residential_construction_cost,commercial_construction_cost,is_residential,is_commercial,unemployment_rate,gdp,per_capita_income,personal_income,unemployment_rate_change,gdp_change,per_capita_income_change,personal_income_change,commercial_permit_value,retail_per_capita,retail_value_per_capita,expected_retail,leakage_score
60604,653.0,77806.0,577700.0,440.0,17.0,60604,2023,-0.1139755766621438,0.0148564571458384,-0.0392482953600532,-0.0983606557377049,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,15242195.399999999,100.0
60605,34256.0,118403.0,495900.0,23504.0,17.0,60605,2023,-0.0016902721921081,0.0166663804502755,0.033125,0.0124924614456793,3.0,0.0,0.0,905780.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1216803950.3999999,100.0
60606,3527.0,139148.0,366500.0,3244.0,17.0,60606,2023,0.0039851978366067,0.0436126090315225,0.0385378294134315,0.018524332810047,16.0,0.0,0.0,550500.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,147232498.79999998,100.0
60607,30197.0,126307.0,494300.0,21156.0,17.0,60607,2023,0.0486161752960376,0.0569623430962342,0.0149897330595483,0.0973598215675086,5.0,0.0,0.0,10282000.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1144227743.7,100.0
60608,81459.0,70704.0,341500.0,42715.0,17.0,60608,2023,-0.0155893122575498,0.0581104742521063,0.0618781094527363,0.016056137012369,1.0,0.0,0.0,700000.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1727843140.8,100.0
60609,64268.0,54142.0,251600.0,32510.0,17.0,60609,2023,0.0162394649040971,0.1468575907136351,0.0996503496503495,0.0241950727742423,4.0,0.0,0.0,30001.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1043879416.8,100.0
60610,45282.0,105649.0,543000.0,31747.0,17.0,60610,2023,0.0554260674995339,-0.0059090866321028,0.0793082886106142,0.0749305884743007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1435199405.3999999,100.0
60611,36036.0,124621.0,608200.0,25203.0,17.0,60611,2023,0.0223848838198996,-0.0172775447118569,-0.0721586575133486,0.0432568921268317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1347252706.8,100.0
60612,34699.0,60457.0,331600.0,18784.0,17.0,60612,2023,0.0069647987463361,0.0271670800910666,-0.0323898453457834,0.0452395526125424,114.0,0.0,0.0,217500.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,629339232.9,100.0
60613,51334.0,91351.0,397800.0,37590.0,17.0,60613,2023,-0.0120667423644656,-0.0096164270691038,-0.0037565740045079,-0.0167150592482147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1406823670.2,100.0
60614,70444.0,139561.0,730700.0,47061.0,17.0,60614,2023,-0.0175311362463563,0.0310052894418013,0.0005477201150212,-0.0174541202998099,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,2949370525.2,100.0
60615,42752.0,62105.0,305200.0,24624.0,17.0,60615,2023,-0.0006545114539504,0.0988534626136805,-0.0039164490861618,4.0612435527664914e-05,2.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,796533888.0,100.0
60616,54456.0,77841.0,387300.0,31321.0,17.0,60616,2023,0.0331834481188457,0.0762519702458313,-0.0097161851188953,0.043129287950443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1271672848.8,100.0
