indicator,description,date,value
CHIC917URN,Chicago Unemployment Rate,2008-09-01,6.2
CHIC917URN,Chicago Unemployment Rate,2008-10-01,6.3
CHIC917URN,Chicago Unemployment Rate,2008-11-01,6.4
CHIC917URN,Chicago Unemployment Rate,2008-12-01,7.1
CHIC917URN,Chicago Unemployment Rate,2009-01-01,8.7
CHIC917URN,Chicago Unemployment Rate,2009-02-01,9.4
CHIC917URN,Chicago Unemployment Rate,2009-03-01,9.5
CHIC917URN,Chicago Unemployment Rate,2009-04-01,9.5
CHIC917URN,Chicago Unemployment Rate,2009-05-01,9.8
CHIC917URN,Chicago Unemployment Rate,2009-06-01,10.5
CHIC917URN,Chicago Unemployment Rate,2009-07-01,10.2
CHIC917URN,Chicago Unemployment Rate,2009-08-01,10.0
CHIC917URN,Chicago Unemployment Rate,2009-09-01,10.2
CHIC917URN,Chicago Unemployment Rate,2009-10-01,10.4
CHIC917URN,Chicago Unemployment Rate,2009-11-01,10.3
CHIC917URN,Chicago Unemployment Rate,2009-12-01,10.8
CHIC917URN,Chicago Unemployment Rate,2010-01-01,12.0
CHIC917URN,Chicago Unemployment Rate,2010-02-01,11.8
CHIC917URN,Chicago Unemployment Rate,2010-03-01,11.5
CHIC917URN,Chicago Unemployment Rate,2010-04-01,10.7
CHIC917URN,Chicago Unemployment Rate,2010-05-01,10.3
CHIC917URN,Chicago Unemployment Rate,2010-06-01,10.8
CHIC917URN,Chicago Unemployment Rate,2010-07-01,10.7
CHIC917URN,Chicago Unemployment Rate,2010-08-01,10.3
CHIC917URN,Chicago Unemployment Rate,2010-09-01,9.8
CHIC917URN,Chicago Unemployment Rate,2010-10-01,9.5
CHIC917URN,Chicago Unemployment Rate,2010-11-01,9.6
CHIC917URN,Chicago Unemployment Rate,2010-12-01,9.5
CHIC917URN,Chicago Unemployment Rate,2011-01-01,10.3
CHIC917URN,Chicago Unemployment Rate,2011-02-01,10.1
CHIC917URN,Chicago Unemployment Rate,2011-03-01,9.9
CHIC917URN,Chicago Unemployment Rate,2011-04-01,9.6
CHIC917URN,Chicago Unemployment Rate,2011-05-01,9.8
CHIC917URN,Chicago Unemployment Rate,2011-06-01,10.7
CHIC917URN,Chicago Unemployment Rate,2011-07-01,10.6
CHIC917URN,Chicago Unemployment Rate,2011-08-01,10.5
CHIC917URN,Chicago Unemployment Rate,2011-09-01,10.1
CHIC917URN,Chicago Unemployment Rate,2011-10-01,9.9
CHIC917URN,Chicago Unemployment Rate,2011-11-01,9.5
CHIC917URN,Chicago Unemployment Rate,2011-12-01,9.4
CHIC917URN,Chicago Unemployment Rate,2012-01-01,9.9
CHIC917URN,Chicago Unemployment Rate,2012-02-01,9.7
CHIC917URN,Chicago Unemployment Rate,2012-03-01,9.3
CHIC917URN,Chicago Unemployment Rate,2012-04-01,8.8
CHIC917URN,Chicago Unemployment Rate,2012-05-01,8.8
CHIC917URN,Chicago Unemployment Rate,2012-06-01,9.7
CHIC917URN,Chicago Unemployment Rate,2012-07-01,9.5
CHIC917URN,Chicago Unemployment Rate,2012-08-01,9.3
CHIC917URN,Chicago Unemployment Rate,2012-09-01,8.6
CHIC917URN,Chicago Unemployment Rate,2012-10-01,8.8
CHIC917URN,Chicago Unemployment Rate,2012-11-01,8.6
CHIC917URN,Chicago Unemployment Rate,2012-12-01,9.0
CHIC917URN,Chicago Unemployment Rate,2013-01-01,10.2
CHIC917URN,Chicago Unemployment Rate,2013-02-01,10.0
CHIC917URN,Chicago Unemployment Rate,2013-03-01,9.3
CHIC917URN,Chicago Unemployment Rate,2013-04-01,9.0
CHIC917URN,Chicago Unemployment Rate,2013-05-01,9.0
CHIC917URN,Chicago Unemployment Rate,2013-06-01,9.9
CHIC917URN,Chicago Unemployment Rate,2013-07-01,9.5
CHIC917URN,Chicago Unemployment Rate,2013-08-01,9.1
CHIC917URN,Chicago Unemployment Rate,2013-09-01,8.7
CHIC917URN,Chicago Unemployment Rate,2013-10-01,8.7
CHIC917URN,Chicago Unemployment Rate,2013-11-01,8.3
CHIC917URN,Chicago Unemployment Rate,2013-12-01,8.2
CHIC917URN,Chicago Unemployment Rate,2014-01-01,8.7
CHIC917URN,Chicago Unemployment Rate,2014-02-01,8.8
CHIC917URN,Chicago Unemployment Rate,2014-03-01,8.2
CHIC917URN,Chicago Unemployment Rate,2014-04-01,7.2
CHIC917URN,Chicago Unemployment Rate,2014-05-01,7.1
CHIC917URN,Chicago Unemployment Rate,2014-06-01,7.4
CHIC917URN,Chicago Unemployment Rate,2014-07-01,7.3
CHIC917URN,Chicago Unemployment Rate,2014-08-01,7.0
CHIC917URN,Chicago Unemployment Rate,2014-09-01,6.6
CHIC917URN,Chicago Unemployment Rate,2014-10-01,6.4
CHIC917URN,Chicago Unemployment Rate,2014-11-01,6.2
CHIC917URN,Chicago Unemployment Rate,2014-12-01,5.9
CHIC917URN,Chicago Unemployment Rate,2015-01-01,7.0
CHIC917URN,Chicago Unemployment Rate,2015-02-01,6.7
CHIC917URN,Chicago Unemployment Rate,2015-03-01,6.3
CHIC917URN,Chicago Unemployment Rate,2015-04-01,5.7
CHIC917URN,Chicago Unemployment Rate,2015-05-01,5.9
CHIC917URN,Chicago Unemployment Rate,2015-06-01,6.3
CHIC917URN,Chicago Unemployment Rate,2015-07-01,6.1
CHIC917URN,Chicago Unemployment Rate,2015-08-01,5.8
CHIC917URN,Chicago Unemployment Rate,2015-09-01,5.3
CHIC917URN,Chicago Unemployment Rate,2015-10-01,5.5
CHIC917URN,Chicago Unemployment Rate,2015-11-01,5.7
CHIC917URN,Chicago Unemployment Rate,2015-12-01,5.8
CHIC917URN,Chicago Unemployment Rate,2016-01-01,6.6
CHIC917URN,Chicago Unemployment Rate,2016-02-01,6.6
CHIC917URN,Chicago Unemployment Rate,2016-03-01,6.4
CHIC917URN,Chicago Unemployment Rate,2016-04-01,6.0
CHIC917URN,Chicago Unemployment Rate,2016-05-01,5.5
CHIC917URN,Chicago Unemployment Rate,2016-06-01,6.2
CHIC917URN,Chicago Unemployment Rate,2016-07-01,5.8
CHIC917URN,Chicago Unemployment Rate,2016-08-01,5.8
CHIC917URN,Chicago Unemployment Rate,2016-09-01,5.7
CHIC917URN,Chicago Unemployment Rate,2016-10-01,5.6
