zoning_classification,zone_category,total_parcels,avg_lot_size,total_area,zip_code
PD 542,5,1,3551687.80719,3551687.80719,60601
PD 185,5,1,20141.0955122,20141.0955122,60601
PD 822,5,1,234959.911099,234959.911099,60601
PD 1077,5,1,59648.4976919,59648.4976919,60601
PD 1372,5,1,119597.577312,119597.577312,60601
PD 1037,5,1,233339.563165,233339.563165,60601
PD 936,5,1,83106.7317404,83106.7317404,60601
PD 1502,5,1,65431.0702901,65431.0702901,60601
PD 489,5,1,187347.469926,187347.469926,60601
M2-3,3,66,957759.5457625232,63212130.02032653,60601
PD 60,5,1,402778.731658,402778.731658,60601
PD 172,5,1,440560.689832,440560.689832,60601
PD 713,5,1,358121.409298,358121.409298,60601
PD 1414,5,1,182285.437209,182285.437209,60601
PD 111,5,1,102535.878637,102535.878637,60601
PD 365,5,1,118137.172396,118137.172396,60601
PD 693,5,1,65483.7060615,65483.7060615,60601
RM-5,1,1,2159.56210893,2159.56210893,60601
PD 1326,5,1,28520.3183598,28520.3183598,60601
PD 1300,5,1,42752.073917,42752.073917,60601
PD 1245,5,1,161548.29669,161548.29669,60601
PD 921,5,1,353115.201615,353115.201615,60601
PD 438,5,1,103931.282544,103931.282544,60601
RS-1,4,78,1870274.6539532293,145881423.0083519,60601
PD 1434,5,1,3071965.92935,3071965.92935,60601
PD 908,5,1,62231.7016376,62231.7016376,60601
PD 1230,5,1,114035.92887,114035.92887,60601
B2-5,1,64,23380.584788243123,1496357.42644756,60601
PD 897,5,1,1724981.26797,1724981.26797,60601
RM-6,4,120,129030.7513263795,15483690.15916554,60601
PD 46,5,1,599371.368109,599371.368109,60601
DX-3,7,36,80607.8057187289,2901881.00587424,60601
PD 106,5,1,356729.251933,356729.251933,60601
PD 555,5,1,211114.136906,211114.136906,60601
PD 1324,5,1,51157.2826654,51157.2826654,60601
PD 707,5,1,1364710.27255,1364710.27255,60601
PD 237,5,1,125777.2518,125777.2518,60601
PD 330,5,1,332798.715515,332798.715515,60601
